iter	Passed	Remaining
0	138	137999
1	140	69972
2	141	47172
3	143	35665
4	144	28736
5	145	24130
6	146	20838
7	147	18331
8	148	16374
9	149	14802
10	150	13517
11	151	12436
12	151	11520
13	152	10732
14	153	10048
15	153	9446
16	154	8913
17	154	8441
18	155	8017
19	155	7643
20	156	7307
21	157	6994
22	158	6716
23	158	6453
24	159	6222
25	160	6000
26	160	5801
27	161	5607
28	162	5428
29	162	5261
30	163	5104
31	163	4957
32	164	4819
33	165	4689
34	165	4566
35	166	4451
36	166	4340
37	167	4236
38	167	4137
39	168	4044
40	169	3953
41	169	3869
42	170	3787
43	170	3710
44	171	3635
45	171	3564
46	172	3502
47	173	3439
48	174	3378
49	174	3323
50	175	3266
51	176	3210
52	176	3157
53	177	3104
54	177	3055
55	178	3006
56	178	2961
57	179	2915
58	180	2872
59	180	2829
60	181	2789
61	181	2748
62	182	2711
63	182	2674
64	183	2638
65	184	2604
66	184	2570
67	185	2538
68	185	2506
69	186	2475
70	187	2448
71	187	2418
72	188	2391
73	189	2366
74	189	2340
75	190	2316
76	191	2290
77	191	2265
78	192	2240
79	192	2216
80	193	2193
81	193	2169
82	194	2144
83	194	2122
84	195	2101
85	195	2081
86	196	2060
87	196	2040
88	197	2021
89	197	2001
90	198	1982
91	199	1966
92	199	1948
93	200	1931
94	200	1914
95	201	1899
96	202	1883
97	202	1866
98	203	1851
99	203	1835
100	204	1823
101	205	1809
102	206	1795
103	206	1780
104	207	1766
105	207	1753
106	208	1739
107	209	1726
108	209	1713
109	210	1700
110	210	1687
111	211	1675
112	211	1662
113	212	1651
114	213	1639
115	213	1627
116	214	1616
117	214	1605
118	215	1594
119	215	1583
120	216	1572
121	216	1560
122	217	1550
123	217	1539
124	218	1530
125	219	1520
126	219	1511
127	220	1502
128	221	1492
129	221	1482
130	222	1473
131	222	1463
132	223	1454
133	223	1445
134	224	1436
135	224	1427
136	225	1418
137	225	1410
138	226	1401
139	226	1393
140	227	1385
141	227	1375
142	228	1367
143	228	1359
144	229	1352
145	229	1345
146	230	1337
147	231	1330
148	231	1322
149	232	1315
150	232	1307
151	233	1301
152	233	1294
153	234	1288
154	235	1281
155	235	1275
156	236	1268
157	236	1261
158	237	1255
159	237	1249
160	238	1242
161	239	1236
162	239	1230
163	240	1223
164	240	1217
165	241	1211
166	241	1205
167	242	1199
168	242	1193
169	243	1187
170	243	1182
171	244	1176
172	244	1170
173	245	1165
174	246	1159
175	246	1154
176	247	1148
177	247	1143
178	248	1138
179	248	1133
180	249	1129
181	250	1124
182	250	1119
183	251	1114
184	251	1109
185	252	1104
186	252	1099
187	253	1094
188	253	1089
189	254	1085
190	255	1080
191	255	1075
192	256	1071
193	256	1066
194	257	1062
195	257	1057
196	258	1053
197	259	1049
198	259	1044
199	260	1040
200	260	1036
201	261	1032
202	261	1028
203	262	1023
204	262	1019
205	263	1015
206	264	1012
207	264	1008
208	265	1004
209	265	1000
210	266	996
211	267	992
212	267	989
213	268	985
214	268	981
215	269	978
216	270	974
217	270	970
218	271	966
219	271	963
220	272	959
221	272	956
222	273	952
223	273	949
224	274	945
225	275	942
226	275	938
227	276	935
228	276	931
229	278	931
230	278	928
231	279	924
232	280	922
233	280	918
234	281	915
235	281	912
236	282	909
237	283	906
238	283	902
239	284	899
240	284	896
241	285	893
242	285	890
243	286	887
244	286	884
245	287	881
246	288	878
247	288	875
248	289	872
249	289	869
250	290	866
251	290	863
252	291	860
253	291	857
254	292	854
255	292	851
256	293	848
257	294	846
258	294	843
259	295	841
260	296	838
261	296	835
262	297	833
263	297	830
264	298	827
265	298	824
266	299	822
267	300	819
268	300	816
269	301	814
270	301	811
271	302	808
272	302	806
273	303	803
274	303	801
275	304	798
276	305	796
277	305	793
278	306	791
279	306	789
280	307	786
281	308	784
282	308	782
283	309	779
284	310	777
285	310	775
286	311	773
287	311	770
288	312	768
289	313	766
290	313	764
291	314	761
292	314	759
